ghi_kt_20min,ghi_clear_20min,ghi_20min
1.053929,456.93761,481.58
1.054437,454.061809,478.78
1.055807,450.783391,475.94
1.053219,447.104325,470.9
1.053572,443.02683,466.76
1.052647,438.55338,461.64
1.05274,433.686711,456.56
1.05259,428.429818,450.96
1.05576,422.785969,446.36
1.05822,416.758704,441.02
1.06031,410.351847,435.1
1.057266,403.56951,426.68
1.059546,396.416107,420.02
1.060815,388.896365,412.54
1.066104,381.015333,406.2
1.068591,372.778404,398.34
1.075153,364.191331,391.56
1.076784,355.26025,382.54
1.078594,345.991704,373.18
1.081184,336.392679,363.7
1.084314,326.470639,354.0
1.080462,316.233569,341.68
1.089963,305.690033,333.18
1.093056,294.849234,322.28
1.099842,283.721098,312.04
1.104839,272.316362,300.86
1.111863,260.646698,289.8
1.126776,248.724851,280.24
1.138926,236.564813,269.42
1.150712,224.182048,257.96
1.166534,211.593759,246.82
1.182826,198.819233,235.14
1.197316,185.880269,222.8
1.2,172.80174,210.62
1.2,159.612282,197.6
1.2,146.345221,185.12
1.2,133.039739,171.46
1.2,119.742425,159.26
1.2,106.509291,153.08
1.2,93.407998,150.38
1.2,80.521511,124.62
1.2,67.956384,130.1
1.2,55.840179,113.42
1.153167,44.334782,53.806
1.2,33.641763,42.104
1.2,24.007382,30.054
1.2,15.71895,29.988
1.2,9.078161,31.406
0.81158,82.29849,66.754
0.783292,95.251724,74.582
0.748202,108.410454,81.068
0.687713,121.693041,83.62
0.650202,135.032958,87.8
0.84054,148.375403,125.22
0.937065,161.674745,151.52
0.748905,174.892548,130.86
0.621984,187.996091,116.92
0.595552,200.957213,119.66
0.64709,213.75143,138.4
0.810836,226.357256,183.78
1.007553,238.75566,240.76
1.025288,250.929651,257.26
0.866467,262.863938,227.56
0.763651,274.544677,209.64
0.67358,285.959242,192.48
0.550031,297.096066,163.34
0.571472,307.944499,176.1
0.648215,318.494688,206.48
0.65786,328.737495,216.34
0.716527,338.66441,242.72
1.021426,348.267496,355.9
0.929493,357.539328,332.38
1.066857,366.472959,390.96
0.887518,375.061876,332.76
0.793584,383.29997,304.14
0.748517,391.181513,292.84
0.630572,398.701136,251.3
0.520039,405.853807,211.02
0.46626,412.634817,192.38
0.448653,419.03977,188.0
0.451683,425.064566,192.0
0.474994,430.705396,204.6
0.561076,435.95873,244.62
0.600954,440.821313,264.94
0.744697,445.290159,331.7
0.904388,449.362543,406.46
0.60517,453.035999,274.06
0.701637,456.308316,320.18
0.556342,459.177534,255.44
0.516228,461.641943,238.32
0.712691,463.700079,330.54
1.146334,465.350725,550.4
0.733224,466.592905,342.06
0.374612,467.425887,175.1
0.328055,467.849181,153.48
0.425094,467.862539,198.88
0.441483,467.465952,206.38
0.455512,466.659653,212.56
0.513796,465.444116,239.14
0.5605,463.820058,259.98
0.556758,461.788438,257.1
0.532249,459.350457,244.48
0.576557,456.507563,263.22
0.468798,453.26145,212.52
0.375618,449.61406,168.9
0.369264,445.56759,164.52
0.427976,441.124487,188.76
0.534127,436.28746,232.98
0.734468,431.059477,316.46
1.046329,425.443777,446.84
0.965456,419.44387,404.9
0.814915,413.063547,336.86
0.535631,406.30689,217.7
0.487665,399.178275,194.64
0.586286,391.682391,229.66
0.523064,383.824246,200.78
0.535957,375.609191,201.3
0.729965,367.042927,267.58
0.851115,358.13154,305.26
0.937254,348.881514,348.54
1.129063,339.29977,447.36
0.914147,329.393699,336.8
0.677701,319.171204,216.36
0.607793,308.640757,187.54
0.682171,297.811454,202.88
0.815374,286.693099,233.58
1.082074,275.296287,311.84
1.2,263.632525,360.2
1.2,251.714361,327.34
1.2,239.55556,306.96
1.2,227.17131,295.2
0.927907,214.578482,208.534
0.32205,201.795964,65.18
0.350883,188.845068,66.116
0.46069,175.750066,80.892
0.503202,162.538852,81.798
0.513137,149.243824,76.5
0.635848,135.903,86.28
0.932529,122.561492,123.7
1.058307,109.273428,117.88
0.808005,96.103851,77.752
0.746034,83.132301,62.05
0.738707,70.462765,52.07
0.683271,58.216871,39.748
0.758543,46.550229,35.282
0.933777,35.65701,26.84
1.2,25.775761,18.868
1.2,17.188231,13.78
1.2,10.198577,9.97
0.828851,82.73984,68.628
0.768293,95.735842,73.53
0.782192,108.936685,85.27
0.817213,122.260884,99.92
0.829324,135.64204,112.5
0.78864,149.025455,117.46
0.766253,162.365582,124.36
0.671939,175.624051,117.88
0.582694,188.768193,109.92
0.531558,201.769888,107.2
0.478405,214.604682,102.62
0.405891,227.251111,92.14
0.301874,239.690159,72.266
0.239794,251.904848,60.364
0.21116,263.879893,55.708
0.202997,275.601449,55.938
0.184705,287.056892,53.004
0.188184,298.234651,56.168
0.203742,309.124069,62.95
0.255268,319.715288,81.714
0.410297,329.999158,135.78
0.481728,339.967159,163.92
0.906071,349.611343,316.82
0.901467,358.924271,323.56
0.988572,367.898984,363.76
0.929312,376.528951,349.76
0.923556,384.808051,355.3
1.007679,392.73054,395.72
0.997199,400.29103,399.16
0.997074,407.484474,406.26
0.946558,414.306146,392.12
0.97974,420.751632,412.2
0.981129,426.816813,418.78
1.068198,432.497863,461.98
0.834395,437.791233,365.04
0.772081,442.69365,342.08
1.055709,447.202108,472.06
0.989622,451.313862,446.68
0.981279,455.02643,446.58
1.14493,458.337578,524.76
1.023099,461.245328,478.46
1.115901,463.74795,551.24
1.173357,465.843961,556.12
1.101371,467.532121,514.92
1.096809,468.811437,514.2
1.121756,469.681155,526.86
0.998657,470.140764,485.7
0.907769,470.189995,426.82
1.2,469.828819,605.0
1.092609,469.057448,526.22
0.990526,467.876334,468.22
0.880797,466.286172,410.66
1.126131,464.287898,522.86
1.081685,461.882693,499.62
1.05168,459.071979,482.8
1.048182,455.857429,477.82
1.05954,452.240962,479.16
1.087052,448.224747,487.24
1.069575,443.811207,474.7
1.061228,439.003026,465.88
1.049585,433.803144,455.32
1.038596,428.214771,444.74
1.041768,422.241389,439.88
1.039758,415.886757,432.42
1.039023,409.154923,425.12
1.043602,402.05023,419.58
1.045822,394.577327,412.66
1.046344,386.741183,404.66
1.047736,378.547105,396.62
1.048281,370.000747,387.86
1.055863,361.108142,381.28
1.063481,351.875716,374.2
1.124112,342.310326,384.72
1.190275,332.419291,395.66
1.193258,322.210434,385.34
0.83321,311.692134,259.9
1.027722,300.873381,312.82
1.2,289.76386,353.14
1.065121,278.374024,296.7
1.12319,266.715218,299.54
1.175426,254.799798,299.74
0.693383,242.641299,170.96
0.811456,230.254641,186.34
1.077452,217.656367,234.88
1.085781,204.864974,227.78
1.2,191.901293,233.82
1.2,178.789007,215.28
1.2,165.555283,200.66
1.2,152.231611,190.26
1.2,138.854866,177.2
1.2,125.468719,158.88
1.2,112.125461,144.82
1.2,98.887561,143.1
1.2,85.831184,124.4
1.089129,73.057929,91.5
1.2,60.683543,113.24
1.2,48.857447,74.588
1.2,37.766418,51.472
1.2,27.641031,37.0
1.2,18.756587,37.354
1.2,11.417523,40.012
0.819399,83.289107,68.464
1.186845,96.331624,120.66
1.166512,109.577704,129.06
1.018255,122.946139,125.38
1.152179,136.370751,157.16
1.124416,149.79702,168.5
1.137849,163.179539,188.62
0.856618,176.480051,150.66
0.786132,189.665975,149.08
0.76442,202.709258,154.9
1.061924,215.585502,230.56
1.123963,228.273284,261.28
1.109222,240.753618,267.04
1.002342,253.00955,253.14
1.079689,265.025812,286.52
1.131589,276.788569,313.04
0.706751,288.285205,204.16
1.028354,299.504151,308.0
1.079917,310.434748,335.26
1.18026,321.067137,407.96
1.085984,331.392162,385.22
0.486493,341.401295,165.78
0.343664,351.086579,120.66
0.988495,360.440567,356.3
0.831664,369.456285,307.26
0.684998,378.127191,258.92
0.70537,386.447151,272.66
0.838999,394.410407,331.1
0.66058,402.011554,265.46
0.582774,409.245531,238.42
0.680641,416.107596,283.54
1.064345,422.593317,449.8
0.662415,428.698559,283.74
0.767428,434.419479,333.54
0.827454,439.75251,363.88
0.611278,444.69436,271.8
0.796968,449.242007,358.06
0.702026,453.392686,318.3
0.709133,457.143895,324.14
0.622089,460.493384,286.44
0.520366,463.439155,241.14
0.453433,465.979458,211.28
0.416488,468.11279,194.96
0.586505,469.837893,275.64
1.143551,471.153753,550.36
0.933661,472.059597,440.74
0.831442,472.554893,392.9
0.846864,472.639353,400.26
0.86365,472.312926,407.92
0.542615,471.575803,255.92
0.289324,470.428417,136.12
0.231752,468.871439,108.66
0.287973,466.905786,134.44
0.399248,464.532614,185.44
0.497539,461.753327,229.72
0.568741,458.56957,260.8
0.545401,454.983241,248.16
0.527671,450.996485,237.98
0.524121,446.611701,234.08
0.523689,441.831544,231.38
0.513517,436.65893,224.24
0.49036,431.097042,211.4
0.485402,425.149329,206.36
0.538049,418.819523,225.3
0.59468,412.111638,245.08
0.886184,405.029981,358.74
0.901619,397.579166,358.42
1.032895,389.764122,402.52
0.878489,381.590112,335.04
0.887654,373.062743,331.46
0.582719,364.187996,212.32
0.859,354.972242,305.16
0.560972,345.422272,193.86
0.853569,335.545335,285.96
1.032896,325.349174,335.84
0.970181,314.842077,305.68
0.658541,304.03293,200.24
0.860786,292.931299,252.28
0.703733,281.547499,198.0
0.570612,269.892713,153.9
0.836078,257.979108,215.64
0.83731,245.819996,205.68
0.943586,233.430028,220.18
1.070498,220.825429,235.96
1.15351,208.024309,240.14
1.170049,195.047028,232.36
1.186578,181.916694,219.62
1.2,168.65976,219.26
1.2,155.306827,216.04
1.2,141.89366,201.04
1.2,128.46252,186.52
1.2,115.063908,152.92
1.2,101.757771,145.32
1.2,88.616955,146.86
1.2,75.740854,144.02
1.2,63.239401,137.28
1.2,51.255936,105.7
1.2,39.969884,69.714
1.2,29.603666,50.544
1.2,20.425384,45.154
1.2,12.737792,42.104
1.2,6.834186,35.492
0.406056,83.946889,34.35
0.659211,97.039579,64.102
1.193162,110.33394,136.5
1.2,123.74916,161.0
0.966899,137.219376,132.2
0.779901,150.690317,117.66
0.725327,164.116775,118.7
0.928808,177.460648,165.2
1.03359,190.689479,197.08
0.72667,203.775313,148.24
1.0854,216.693827,237.64
0.895175,229.423659,205.5
1.008205,241.945871,244.16
1.045798,254.243542,265.88
1.077585,266.301431,287.02
1.184046,278.105727,342.66
1.095414,289.643822,328.36
1.140001,300.904159,352.12
0.688798,311.876085,214.5
0.691476,322.549739,223.58
1.066937,332.915965,355.36
1.164895,342.966232,409.96
0.657029,352.692576,231.42
0.501114,362.087542,181.36
0.407682,371.144147,151.16
0.283405,379.855839,107.62
0.576938,388.21647,224.36
0.792603,396.220271,314.56
0.633263,403.861824,255.56
0.601892,411.136052,247.38
0.633564,418.038199,264.9
0.606028,424.563818,257.28
0.793159,430.708757,341.9
0.62492,436.469157,272.76
0.514223,441.841434,227.22
0.429472,446.82228,191.82
0.345628,451.408653,156.02
0.360621,455.597772,164.3
0.361454,459.387117,166.04
0.329419,462.774419,152.44
0.313523,465.757662,146.02
0.344846,468.335077,161.52
0.390618,470.505143,183.78
0.401551,472.266583,189.64
0.387607,473.618361,183.58
0.465004,474.559688,220.68
0.542843,475.090011,257.9
0.529873,475.209022,251.8
0.507584,474.91665,241.06
0.533346,474.213066,252.92
0.573657,473.098682,271.38
0.531379,471.574149,250.6
0.683366,469.640361,320.88
0.892083,467.298455,418.68
1.155432,464.54981,537.94
1.113711,461.396052,513.88
1.062677,457.839053,486.54
1.062385,453.880936,482.2
1.045405,449.524074,469.94
1.029654,444.771099,457.96
1.031107,439.6249,453.3
1.037172,434.08863,450.22
1.031305,428.165714,441.58
1.035528,421.85985,436.84
1.040071,415.175021,431.82
1.020789,408.115501,416.6
1.026664,400.685866,411.36
1.039193,392.891007,408.28
1.030653,384.736144,396.54
1.038402,376.226837,390.66
1.050993,367.369017,386.1
1.056539,358.168997,378.42
1.052977,348.633508,367.1
1.053109,338.769728,356.76
1.057277,328.585319,347.4
1.046116,318.088482,332.76
1.074062,307.288001,329.96
1.117333,296.193322,330.92
1.137036,284.814625,323.82
1.025537,273.162934,280.5
1.134254,261.25023,307.66
0.889325,249.089605,225.6
0.946428,236.695447,236.22
0.343284,224.08367,76.988
1.020379,211.272002,214.9
1.199799,198.280345,242.82
1.182633,185.131241,225.4
1.081212,171.850447,195.6
0.857425,158.4677,136.38
0.831166,145.017677,120.18
0.872949,131.541272,114.88
0.809881,118.087242,95.6
0.853221,104.713066,89.36
0.704329,91.488329,64.552
0.675242,78.510418,53.01
0.648905,65.883522,42.82
0.606975,53.745029,32.612
0.683087,42.267088,28.73
1.118461,31.663853,25.774
1.2,22.195614,22.76
1.2,14.161702,28.502
1.2,7.864932,20.872
1.2,84.713764,114.88
1.165778,97.860179,114.7
0.990476,111.205771,110.06
0.816964,124.67024,101.66
0.76514,138.188128,105.84
0.730734,151.705487,110.66
0.630869,165.177361,104.16
0.780595,178.56585,139.38
0.778048,191.838653,149.34
0.863076,204.967941,176.78
0.946587,217.929491,206.68
1.037008,230.702018,239.22
1.031703,243.266645,251.0
1.058284,255.6065,270.48
1.083676,267.706381,290.1
1.005278,279.5525,280.98
1.094242,291.132276,318.64
1.071009,302.434163,324.08
1.084644,313.447519,339.94
1.041556,324.162489,337.72
1.048022,334.56992,350.72
1.055953,344.661278,363.9
1.011441,354.428597,358.46
0.974944,363.864417,354.72
1.019384,372.961748,380.2
0.960721,381.714028,366.66
0.943199,390.115102,368.02
0.948084,398.159186,377.46
0.963907,405.840852,391.18
0.916068,413.15501,378.42
0.912454,420.096889,383.4
1.013381,426.662029,432.38
0.930999,432.846263,402.98
1.023737,438.645715,449.12
1.029589,444.056786,457.16
1.019631,449.076151,457.9
1.022928,453.700751,464.1
1.01429,457.927791,464.46
0.981912,461.75473,453.4
0.990789,465.179282,460.9
1.026432,468.199414,480.58
1.016706,470.81334,478.66
1.027919,473.019518,486.22
0.96211,474.816654,456.82
0.980997,476.203695,467.16
1.020413,477.179829,486.92
0.996987,477.744488,476.3
0.955395,477.897342,456.58
1.031956,477.638302,492.9
0.955032,476.967518,455.52
0.970788,475.885382,461.98
1.003428,474.392526,476.02
0.831406,472.489823,392.88
0.862958,470.178388,405.7
0.913309,467.459579,426.94
0.952184,464.334999,442.1
0.927332,460.806499,427.32
1.006473,456.876178,459.82
0.982747,452.546386,444.72
0.998603,447.81973,447.22
1.009425,442.699071,446.84
1.006511,437.187539,440.04
0.886065,431.288527,382.22
0.95705,425.005706,406.68
0.933949,418.343026,390.66
0.976284,411.304728,401.62
0.83671,403.895354,338.1
0.791891,396.119754,313.56
0.900342,387.983106,349.38
0.945248,379.490926,358.6
1.050415,370.649093,389.36
0.995131,361.463867,359.64
0.980359,351.941915,345.08
0.898412,342.090347,307.46
0.794706,331.916749,263.76
0.829661,321.42923,266.66
0.801158,310.636476,248.92
0.883924,299.547817,264.66
1.005308,288.173299,289.56
1.007399,276.52379,278.86
0.799054,264.611088,211.64
0.852928,252.448069,215.32
0.780805,240.048865,187.44
1.00757,227.42908,228.9
1.09698,214.606075,235.4
1.192559,201.599299,249.88
1.2,188.430745,263.38
1.2,175.12549,239.38
1.069922,161.712429,177.28
0.980866,148.225183,145.22
1.068324,134.703313,144.02
1.137339,121.193889,140.32
1.2,107.751972,139.88
1.2,94.44395,149.52
1.2,81.365404,153.52
1.2,68.614861,114.66
1.2,56.323901,122.24
1.2,44.657502,72.246
1.2,33.821505,45.192
1.2,24.067902,36.416
1.2,15.691094,37.616
1.2,8.999982,31.828
0.540362,85.5903,46.216
0.501655,98.793868,49.514
0.477883,112.193531,53.598
0.438455,125.709614,55.07
0.384051,139.277156,53.428
0.355435,152.842599,54.316
0.364751,166.361294,60.718
0.381893,179.795583,68.638
0.361058,193.113359,69.734
0.346684,206.286943,71.464
0.309277,219.292235,67.808
0.299128,232.108045,69.398
0.272893,244.715573,66.782
0.316936,257.098007,81.544
0.343001,269.240189,92.34
0.346362,281.128373,97.4
0.354479,292.75,103.78
0.331083,304.09355,100.64
0.294114,315.148392,92.68
0.269764,325.904683,87.88
0.218506,336.353275,73.45
0.20434,346.485639,70.818
0.200001,356.293806,71.236
0.177922,365.770314,65.076
0.171844,374.908168,64.42
0.14876,383.700799,57.052
0.119498,392.142044,46.85
0.106055,400.22611,42.444
0.11993,407.947557,48.94
0.133498,415.301284,55.444
0.14153,422.282508,59.778
0.175989,428.886754,75.494
0.160389,435.109842,69.776
0.201347,440.947881,88.82
0.243476,446.397257,108.7
0.259135,451.454629,116.98
0.222756,456.116924,101.6
0.251321,460.381328,115.7
0.175226,464.245284,81.322
0.125168,467.706491,58.538
0.128278,470.762897,60.392
0.132546,473.412698,62.74
0.09416,475.654336,44.79
0.110022,477.486498,52.534
0.120962,478.908112,57.932
0.125869,479.91835,60.406
0.129067,480.516624,62.02
0.181318,480.702585,87.16
0.196721,480.476126,94.52
0.183644,479.837377,88.12
0.20641,478.786711,98.82
0.222966,477.324739,106.44
0.143465,475.452314,68.214
0.188005,473.170531,88.952
0.195453,470.480727,91.96
0.122611,467.384485,57.326
0.131116,463.883632,60.806
0.194736,459.980244,89.552
0.261859,455.676649,119.32
0.229815,450.975428,103.69
0.161677,445.879419,72.086
0.127035,440.391725,55.974
0.106025,434.515711,46.068
0.141462,428.255019,60.546
0.169067,421.613568,71.276
0.196118,414.595567,81.3
0.213229,407.205522,86.82
0.241486,399.448244,96.44
0.238577,391.328872,93.36
0.311647,382.852877,119.3
0.313312,374.026088,117.18
0.276631,364.854709,101.0
0.235474,355.345349,83.66
0.24304,345.505049,83.922
0.286708,335.341318,96.14
0.283768,324.86218,92.2
0.33241,314.076221,104.26
0.405309,302.992657,122.78
0.371071,291.621404,108.28
0.283043,279.973176,79.348
0.208036,268.059591,55.778
0.176288,255.893315,45.14
0.176635,243.488227,42.968
0.302253,230.859633,69.586
0.3647,218.024529,79.566
0.307707,205.001927,63.14
0.241998,191.813281,46.512
0.176315,178.48301,31.542
0.134298,165.039185,22.156
0.183873,151.514406,27.79
0.25951,137.946942,35.694
0.330568,124.382224,41.168
0.300537,110.872953,33.276
0.327483,97.482383,31.916
0.337775,84.304498,28.456
